Hit Name,Aurora1,Aurora2,AURURA5,Charentais2,Charentais3,Charentais5,Crane1,Crane2,Crane3,Crane5,Diplo1,Diplo2,Diplo3,Diplo4,Edisto1,Edisto3,Halona1,Halona2,Halona3,Halona4,Halona5,HBush1,HBush2,HBush4,HBush5,HOrange1,HOrange3,HOrange4,HOrange5,IchibaKouji,IchibaKouji2,IchibaKouji3,Kajari1,Kajari2,Kajari3,Koljo1,Koljo3,Koljo5,Korean1,Korean2,Korean3,Korean4,Midget1,Midget2,Midget3,Midget5,Milan1,Milan2,Milan3,Milan4,Milan5,OHoneydew21,OHoneydew29,OHoneydew2,PMR1,PMR2,PMR3,PMR5,WMR3,WMR4
"Nonanoic acid, methyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,5.5,0,0,0,0,0,0,0,0,2.5,0,1.4,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Phenylpropanol,0,0,0,15.1,0,0,0,0,0,0,0,6.4,13.2,0,0,0,0,0,0,0,0,24.3,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,6.5,16.5,21.3,11.5,0,3.1,0,9.5,0,0,0,0,0
Nonanoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0
"Cinnamaldehyde, (E)-",2.4,3.9,2.6,0,0,0,1.9,2.4,3.4,0,0,2.9,2.5,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"6-Nonen-1-ol, acetate, (Z)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Propenoic acid, 3-phenyl-, methyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,4.8,0,1.8,0,0,0,0,0,0,0,0
"Decanoic acid, ethyl ester",0,0,0,19.1,11.3,12.7,0,0,0,0,0,0,0,0,0,0,0,0,3.3,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",20.1,59.8,25.8,8.9,5.9,3.7,34,31.4,31.9,19.3,0,0,0,0,2,6.6,4.5,4.6,5.4,9.2,8.6,12.4,19.4,22,23.6,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,14.8,5.4,11,12,17.8,15.1,19.4,7.2,15.6,32.3,3.8,3.2,5.5,4.9,3.7,11.5
"2-Propenoic acid, 3-phenyl-, ethyl ester, (E)-",0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trans-.beta.-Ionone,6.2,8.3,3.5,1.9,2,0,0,4.1,5,0,0,0,0,0,0,0,2.2,0,0,1.7,0,0,0,3.7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,3,0,0,0,3.4,3.1,2.1,0,5.6,1.7,1.8,1.5,2.4,1.4,2.4
"Dodecanoic acid, ethyl ester",0,0,0,29.4,11.1,16.2,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Hexadecenoic acid, methyl ester, (Z)-",2.2,4.5,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0
"Hexadecanoic acid, methyl ester",6.4,7.6,0,0,5.2,0,0,0,0,0,0,0,0,0,0,1.9,3.6,0,1.7,1.9,0,0,0,0,0,0,0,6.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.5,3.6,0,0,3.8
