Samples,Methanethiol,Acetoin,Pyridine,Pentanol,Hexanal,"Pyridine, 2-methyl-",Hexanol,"Pyrazine, 2,3-dimethyl-","Hepten-2-one, 6-methyl-5-","Octanediol, 2,4-","Pyrazine, 2,6-diethyl-","Benzenediol, 4-ethyl-1,3-","Octanol, 2-butyl-1-","Pyrazine, 2,3-diethyl-5-methyl-","Phenol, 3,5-dimethyl-"
TC17,0,131355.39,0,34837.42,674109.9,0,1369,0,0,0,0,1240.68,0,0,0
TC18,3491.07,113266.51,8100.67,96521.6,0,1983.18,15444.03,6188.53,5412.54,0,12108.09,2651.9,0,0,1474.04
TC19,3349.02,121483.85,10369.69,71371.75,0,0,14352.51,0,3637.78,0,0,5100.99,0,0,2322.78
TC20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.87
TC21,1655.01,61876.63,5130.82,54336.81,288796.42,1203.53,8053.93,4211.19,3123.55,1210.59,7287.03,1916.2,1422.4,0,0
TC22,1778.78,110067.93,7237.95,27093.27,0,836.82,5778.82,1948.63,0,356.13,0,0,1280.93,0,1267.28
TC23,0,9243.56,0,9596.36,288781.39,0,5460.67,0,0,0,1054.23,0,0,0,0
TC24,0,105680.78,22142.81,96560.36,0,0,11062.31,0,0,872.45,0,5062.47,0,0,2046.45
TC25,0,67267.85,7326.75,59649.49,398421.95,0,9312.88,2552.07,0,0,0,0,1925.46,0,1170.75
TC26,0,108971.85,0,23802.57,490323.48,0,4783.99,0,0,392.55,0,923.43,0,0,0
TC27,0,17934.42,1901.46,36239.82,0,0,3292.5,0,0,0,0,1336.94,0,0,692.01
TC28,2986.94,72352.84,7518.41,61841.32,0,1329.24,7721.18,0,0,827.07,19059.73,0,1806.34,0,1278.06
TC29,0,0,5559.42,0,0,756.3,4443.81,2351.41,0,0,0,1851.57,0,0,2755.09
TC30,0,18813.49,5291.4,36165.83,0,0,3276.26,2637.83,0,0,0,1435.69,2046.96,0,1585.94
